time (s),T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,P1,P2,P3,P4
11.45,30.710000,30.680000,30.680000,30.660000,30.680000,30.660000,-356.580000,-356.620000,-356.580000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
11.66,30.680000,30.680000,30.680000,30.660000,30.680000,30.660000,-356.580000,-356.660000,-356.580000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
11.87,30.680000,30.680000,30.680000,30.660000,30.680000,30.660000,-356.580000,-356.660000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
12.07,30.680000,30.680000,30.680000,30.660000,30.680000,30.660000,-356.580000,-356.660000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
12.29,30.680000,30.680000,30.680000,30.680000,30.680000,30.660000,-356.580000,-356.660000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
12.50,30.680000,30.680000,30.680000,30.680000,30.680000,30.660000,-356.580000,-356.660000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
12.71,30.680000,30.680000,30.680000,30.680000,30.680000,30.660000,-356.540000,-356.660000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
12.91,30.710000,30.680000,30.680000,30.680000,30.680000,30.660000,-356.540000,-356.620000,-356.620000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
13.12,30.710000,30.680000,30.680000,30.680000,30.680000,30.660000,-356.540000,-356.620000,-356.580000,-356.660000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
13.36,30.710000,30.680000,30.680000,30.680000,30.680000,30.660000,-356.540000,-356.620000,-356.580000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
13.56,30.710000,30.680000,30.680000,30.660000,30.680000,30.660000,-356.540000,-356.620000,-356.580000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
13.76,30.710000,30.680000,30.680000,30.660000,30.680000,30.660000,-356.540000,-356.620000,-356.580000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
13.97,30.710000,30.680000,30.680000,30.660000,30.680000,30.660000,-356.580000,-356.620000,-356.580000,-356.620000,-356.620000,-356.660000,0.000,0.000,0.000,0.000
